DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
03/29/2024,1,4,HHOLLW2_WND1,RN,-5.99,N
03/29/2024,1,4,HHOLLW3_WND1,RN,-5.99,N
03/29/2024,1,4,HHOLLW4_WND1,RN,-5.99,N
03/29/2024,1,4,HICK_G1_G2,RN,-31.63,N
03/29/2024,1,4,HI_LONEB_RN1,RN,-31.61,N
03/29/2024,1,4,HI_LONE_ALL,RN,-31.61,N
03/29/2024,1,4,HLSES_UNIT3,RN,2.9,N
03/29/2024,1,4,HLSES_UNIT4,RN,2.9,N
03/29/2024,1,4,HLSES_UNIT5,RN,2.9,N
03/29/2024,1,4,HMNG_ESS_RN,RN,2.91,N
03/29/2024,1,4,HOLCOMB_RN1,RN,-8.34,N
03/29/2024,1,4,HOLSTEIN_ALL,RN,-6.03,N
03/29/2024,1,4,HOL_ALL,RN,4.14,N
03/29/2024,1,4,HOPKNSLR_ALL,RN,2.95,N
03/29/2024,1,4,HORSCR_RN,RN,11.36,N
03/29/2024,1,4,HORSECRK_RN,RN,-5.44,N
03/29/2024,1,4,HOUSEMTN_RN,RN,12.38,N
03/29/2024,1,4,HOVEY_GEN,RN,12.63,N
03/29/2024,1,4,HRBESS_BESS,RN,12.6,N
03/29/2024,1,4,HRFDWIND_ALL,RN,-5.27,N
03/29/2024,1,4,HRZN_SLR_UN1,RN,-4.55,N
03/29/2024,1,4,HWF_HWFG1,RN,-5.72,N
03/29/2024,1,4,HYDR_ESS_RN,RN,10.72,N
03/29/2024,1,4,H_HOLLO_WND1,RN,-5.99,N
03/29/2024,1,4,IMP_RN1,RN,2.94,N
03/29/2024,1,4,INDNENR_1_RN,RN,9.8,N
03/29/2024,1,4,INDNENR_2_RN,RN,10.7,N
03/29/2024,1,4,INDNNWP_RN,RN,10.25,N
03/29/2024,1,4,IND_INADALE1,RN,-5.99,N
03/29/2024,1,4,INGLCOSW_CC1,LCCRN,-2.66,N
03/29/2024,1,4,INGLCOSW_STG,PCCRN,-2.66,N
03/29/2024,1,4,INGLCOS_CTG1,PCCRN,-2.66,N
03/29/2024,1,4,INGLCOS_CTG2,PCCRN,-2.66,N
03/29/2024,1,4,INGLCO_PUN1,PUN,-2.66,N
03/29/2024,1,4,INGLCO_PUN2,PUN,-2.66,N
03/29/2024,1,4,INGLCO_PUN3,PUN,-2.66,N
03/29/2024,1,4,INKS_INKS_G1,RN,2.3,N
03/29/2024,1,4,INRT_W_ALL,RN,-5.44,N
03/29/2024,1,4,JACKCNTY_CC1,LCCRN,1.56,N
03/29/2024,1,4,JACKCNTY_CT1,PCCRN,1.56,N
03/29/2024,1,4,JACKCNTY_CT2,PCCRN,1.56,N
03/29/2024,1,4,JACKCNTY_STG,PCCRN,1.56,N
03/29/2024,1,4,JADE_SLR_ALL,RN,-5.47,N
03/29/2024,1,4,JAD_RN,RN,4.02,N
03/29/2024,1,4,JAY_RN_1,RN,4.1,N
03/29/2024,1,4,JCKCNTY2_CC1,LCCRN,2.92,N
03/29/2024,1,4,JCKCNTY2_CT3,PCCRN,2.92,N
03/29/2024,1,4,JCKCNTY2_CT4,PCCRN,2.92,N
